index,avg_precision,avg_recall,avg_tp,avg_fp
"('doi', 'number', 'pages', 'title', 'year')",1.0,0.6666666666666666,0.5,0.0
"('doi', 'pages')",1.0,0.6666666666666666,0.5,0.0
"('journal', 'number', 'title')",1.0,0.02733333333333333,0.4,0.0
"('author', 'journal', 'number', 'year')",1.0,0.026348039215686275,0.4,0.0
"('author', 'journal', 'number', 'title', 'year')",1.0,0.02327639751552795,0.4,0.0
"('author', 'journal', 'title', 'year')",1.0,0.02313021618903972,0.4,0.0
"('author', 'journal', 'number', 'title')",1.0,0.02192982456140351,0.4,0.0
"('journal', 'number', 'title', 'year')",1.0,0.01977124183006536,0.4,0.0
"('journal', 'title', 'year')",1.0,0.019655076307999845,0.4,0.0
"('journal', 'title')",1.0,0.018674242424242427,0.4,0.0
"('author', 'journal', 'title')",1.0,0.017558006710930246,0.4,0.0
"('author', 'journal', 'year')",1.0,0.016516719148298095,0.4,0.0
"('author', 'journal', 'number', 'pages', 'title', 'year')",1.0,0.03166666666666666,0.3,0.0
"('author', 'journal', 'pages', 'title', 'year')",1.0,0.026715686274509803,0.3,0.0
"('journal', 'number', 'pages')",1.0,0.025,0.3,0.0
"('journal', 'number', 'pages', 'title')",1.0,0.022549019607843137,0.3,0.0
"('author', 'journal', 'pages')",1.0,0.022256621947024425,0.3,0.0
"('journal', 'number', 'pages', 'title', 'year')",1.0,0.022046374677953628,0.3,0.0
"('journal', 'pages', 'year')",1.0,0.021944444444444444,0.3,0.0
"('journal', 'pages', 'title', 'year')",1.0,0.021929824561403504,0.3,0.0
"('author', 'journal', 'number', 'pages', 'title')",1.0,0.02023809523809524,0.3,0.0
"('author', 'journal', 'pages', 'year')",1.0,0.01958333333333333,0.3,0.0
"('journal', 'pages', 'title')",1.0,0.019518716577540108,0.3,0.0
"('author', 'journal', 'number', 'pages', 'year')",1.0,0.018931159420289854,0.3,0.0
"('journal', 'pages')",1.0,0.018062678062678063,0.3,0.0
"('author', 'journal', 'number', 'pages')",1.0,0.017681159420289853,0.3,0.0
"('journal', 'number', 'pages', 'year')",1.0,0.016776315789473684,0.3,0.0
"('author', 'journal', 'pages', 'title')",1.0,0.015079365079365078,0.3,0.0
"('author', 'number', 'title')",0.9961538461538462,0.8340950359770394,16.7,0.1
"('author', 'title', 'year')",0.9939338235294116,0.8756533340862696,33.8,0.2
"('author', 'number', 'pages')",0.9933333333333334,0.7471923295516646,11.5,0.1
"('number', 'title')",0.9896825396825396,0.8517010582857264,17.1,0.2
"('author', 'pages', 'year')",0.985645933014354,0.744367547559902,13.6,0.2
"('title', 'year')",0.9613626837908196,0.8849407623654487,34.1,1.4
