ref_id,ref_text1,duplication,ref_text,article-title,editor,empty,given-names,issue,other,page,publisher,source,surname,url,volume,year
one_912865,"Zapf, W. (1996): Die Modernisierungstheorie und unterschiedliche Pfade der gesellschaftlichen Entwicklung. In: Leviathan, Jg. 24/1996, Heft 1, S. 63ff.","['bszbw-wao-101868464', 'gesis-solis-00202664', ' gesis-solis-00202664']","Zapf, W. (1996): Die Modernisierungstheorie und unterschiedliche Pfade der gesellschaftlichen Entwicklung. In: Leviathan, Jg. 24/1996, Heft 1, S. 63ff.",['Die Modernisierungstheorie und unterschiedliche Pfade der gesellschaftlichen Entwicklung.'],,"['In:', 'Jg.', 'Heft', 'S.']",['W.'],"['1,']",,['63ff.'],,"['Leviathan,']","['Zapf,']",,"['24/1996,']",['(1996):']
one_745407,"Kuhlmann, E.; Matthies, H.; Oppen, M.; Simon, D. (2000): Der Wissenschaftsbetrieb als Arena der Geschlechterdifferenzierung. Discussion Paper P 00- 601 des Wissenschaftszentrums Berlin für Sozialforschung, Berlin.","[' gesis-bib-46807', 'fis-bildung-579370', ' fis-bildung-579370', 'gesis-solis-00305158', ' gesis-ssoar-11677']","Kuhlmann, E.; Matthies, H.; Oppen, M.; Simon, D. (2000): Der Wissenschaftsbetrieb als Arena der Geschlechterdifferenzierung. Discussion Paper P 00- 601 des Wissenschaftszentrums Berlin für Sozialforschung, Berlin.",['Der Wissenschaftsbetrieb als Arena der Geschlechterdifferenzierung.'],,,"['E.;', 'H.;', 'M.;', 'D.']",,['Berlin.'],['601'],,"['Discussion Paper P', 'des Wissenschaftszentrums Berlin für Sozialforschung,']","['Kuhlmann,', 'Matthies,', 'Oppen,', 'Simon,']",,['00-'],['(2000):']
one_211032,"Rogers, Everett M. (1995) Diffusion of Innovations. New York.","['wzb-bib-134281', ' wzb-bib-134281', 'ubk-opac-LY000367148']","Rogers, Everett M. (1995) Diffusion of Innovations. New York.",['Diffusion of Innovations.'],,,['Everett M.'],,['New York.'],,,,"['Rogers,']",,,['(1995)']
one_250243,"Brüderl, J.; Preisendörfer, P.; Ziegler, R. (1996): Der Erfolg neu gegründeter Betriebe – eine empirische Studie zu den Chancen und Risiken von Unternehmensgründungen, Betriebswirtschaftliche Schriften 140, Berlin.","[' iab-litdok-I960502F46', 'gesis-solis-00218384']","Brüderl, J.; Preisendörfer, P.; Ziegler, R. (1996): Der Erfolg neu gegründeter Betriebe – eine empirische Studie zu den Chancen und Risiken von Unternehmensgründungen, Betriebswirtschaftliche Schriften 140, Berlin.","['Der Erfolg neu gegründeter Betriebe – eine empirische Studie zu den Chancen und Risiken von Unternehmensgründungen,']",,,"['J.;', 'P.;', 'R.']",,['Berlin.'],,,['Betriebswirtschaftliche Schriften'],"['Brüderl,', 'Preisendörfer,', 'Ziegler,']",,"['140,']",['(1996):']
one_338906,"Neyer, J. (2003) Discourse and Order in the EU: A Deliberative Approach to Multi-Level Governance. JCMS 41 (4).","['csa-ps-200406186', ' bszbw-wao-106960261']","Neyer, J. (2003) Discourse and Order in the EU: A Deliberative Approach to Multi-Level Governance. JCMS 41 (4).",['Discourse and Order in the EU: A Deliberative Approach to Multi-Level Governance.'],,,['J.'],['(4).'],,,,['JCMS'],"['Neyer,']",,['41'],['(2003)']
one_85492,"Aiken, L. S., & West, S. G. (1991). Multiple Regression: Testing and interpreting interactions. Newbury Park, CA: Sage publications.","['ubk-opac-LY000077123', ' gesis-bib-92750']","Aiken, L. S., & West, S. G. (1991). Multiple Regression: Testing and interpreting interactions. Newbury Park, CA: Sage publications.",['Multiple Regression: Testing and interpreting interactions.'],,,"['L. S.,', 'S. G.']",,"['Newbury Park, CA:']",,['Sage publications.'],,"['Aiken,', 'West,']",,,['(1991).']
one_474285,"LEITHÄUSER T., VOLMERG, B. (1988): Psychoanalyse in der Sozialforschung. Opladen: Westdeutscher Verlag",['gesis-solis-00112587'],"LEITHÄUSER T., VOLMERG, B. (1988): Psychoanalyse in der Sozialforschung. Opladen: Westdeutscher Verlag",['Psychoanalyse in der Sozialforschung.'],,,"['T.,', 'B.']",,['Opladen:'],,['Westdeutscher Verlag'],,"['LEITHÄUSER', 'VOLMERG,']",,,['(1988):']
one_63855,"Becker, Una 2007: Light at the End of the Tunnel? The Sixth Review Conference of the Biological Weapons Convention, PRIF Reports No. 79, Frankfurt: PRIF.","[' bszbw-wao-389645443', ' gesis-ssoar-28460', 'csa-pais-2008-168725']","Becker, Una 2007: Light at the End of the Tunnel? The Sixth Review Conference of the Biological Weapons Convention, PRIF Reports No. 79, Frankfurt: PRIF.","['Light at the End of the Tunnel? The Sixth Review Conference of the Biological Weapons Convention,']",,,['Una'],,['Frankfurt:'],,['PRIF.'],['PRIF Reports No.'],"['Becker,']",,"['79,']",['2007:']
one_909665,"Harasty, A. S. (1997). The interpersonal nature of social stereotypes: Differential discussion patterns about ingroups and outgroups. Personality and Social Psychology Bulletin, 23, 270–284.",['csa-assia-93831'],"Harasty, A. S. (1997). The interpersonal nature of social stereotypes: Differential discussion patterns about ingroups and outgroups. Personality and Social Psychology Bulletin, 23, 270–284.",['The interpersonal nature of social stereotypes: Differential discussion patterns about ingroups and outgroups.'],,,['A. S.'],,,['270–284.'],,"['Personality and Social Psychology Bulletin,']","['Harasty,']",,"['23,']",['(1997).']
one_68361,"Meyer-Dohm, P. (1965): Sozialökonomische Aspekte der Konsumfreiheit. Untersuchungen zur Stellung des Konsumenten in der marktwirtschaftlichen Ordnung, Freiburg: Rombach.","[' wzb-bib-89308', 'gesis-bib-88834', ' fes-bib-665795']","Meyer-Dohm, P. (1965): Sozialökonomische Aspekte der Konsumfreiheit. Untersuchungen zur Stellung des Konsumenten in der marktwirtschaftlichen Ordnung, Freiburg: Rombach.","['Sozialökonomische Aspekte der Konsumfreiheit. Untersuchungen zur Stellung des Konsumenten in der marktwirtschaftlichen Ordnung,']",,,['P.'],,['Freiburg:'],,['Rombach.'],,"['Meyer-Dohm,']",,,['(1965):']
one_113686,"Hellman, J. (1998): Winners Take All: The Politics of Partial Reform in Postcommunist Transitions. In: World Politics, Jg. 50, H. 2, S. 203–234.","['csa-ps-307008', ' bszbw-wao-104922699']","Hellman, J. (1998): Winners Take All: The Politics of Partial Reform in Postcommunist Transitions. In: World Politics, Jg. 50, H. 2, S. 203–234.",['Winners Take All: The Politics of Partial Reform in Postcommunist Transitions.'],,"['In:', 'Jg.', 'H.', 'S.']",['J.'],"['2,']",,['203–234.'],,"['World Politics,']","['Hellman,']",,"['50,']",['(1998):']
one_427257,"Heimbach-Steins, M.; Kruip, G. (Hrsg.) (2003): Bildung und Beteiligungsgerechtigkeit. Sozialethische Sondierungen. Bielefeld (wbv) 2003.",['gesis-solis-00317664'],"Heimbach-Steins, M.; Kruip, G. (Hrsg.) (2003): Bildung und Beteiligungsgerechtigkeit. Sozialethische Sondierungen. Bielefeld (wbv) 2003.",['Bildung und Beteiligungsgerechtigkeit. Sozialethische Sondierungen.'],,['(Hrsg.)'],"['M.;', 'G.']",,['Bielefeld (wbv)'],,,,"['Heimbach-Steins,', 'Kruip,']",,,"['(2003):', '2003.']"
one_1065426,"Steinke, Ines (1999). Kriterien qualitativer Forschung. Weinheim: Juventa","[' dza-gerolit-301438676', ' gesis-solis-00272267', 'fis-bildung-547686', ' wzb-bib-123864', ' iab-litdok-K020711F18']","Steinke, Ines (1999). Kriterien qualitativer Forschung. Weinheim: Juventa",['Kriterien qualitativer Forschung.'],,,['Ines'],,['Weinheim:'],,['Juventa'],,"['Steinke,']",,,['(1999).']
one_177356,"Haltern, Ulrich (2003). Pathos and Patina: The Failure and Promise of Constitutionalism in the European Imagination, in: European Law Journal, 9(1), 14 44.",['csa-ps-200316796'],"Haltern, Ulrich (2003). Pathos and Patina: The Failure and Promise of Constitutionalism in the European Imagination, in: European Law Journal, 9(1), 14 44.","['Pathos and Patina: The Failure and Promise of Constitutionalism in the European Imagination,']",,['in:'],['Ulrich'],,,['14\x96 44.'],,"['European Law Journal,']","['Haltern,']",,"['9(1),']",['(2003).']
one_812982,"Lauterbach, W. (1995): Die gemeinsame Lebenszeit von Familiengenerationen. Zeitschrift für Soziologie 24, 22-41.","[' dzi-solit-0071598', 'gesis-solis-00188853', ' csa-sa-9509211', ' fis-bildung-311163', ' gesis-bib-31969', 'csa-sa-9509211']","Lauterbach, W. (1995): Die gemeinsame Lebenszeit von Familiengenerationen. Zeitschrift für Soziologie 24, 22-41.",['Die gemeinsame Lebenszeit von Familiengenerationen.'],,,['W.'],,,['22-41.'],,['Zeitschrift für Soziologie'],"['Lauterbach,']",,"['24,']",['(1995):']
one_829728,"Tilly, C. (1978). From mobilization to revolution. Reading, UK: Addison-Wesley.","[' gesis-bib-89890', 'wzb-bib-79560', ' ubk-opac-HL002205882']","Tilly, C. (1978). From mobilization to revolution. Reading, UK: Addison-Wesley.",['From mobilization to revolution.'],,,['C.'],,"['Reading, UK:']",,['Addison-Wesley.'],,"['Tilly,']",,,['(1978).']
one_3986,"Angermüller, Johannes. 2010. Wissenschaft zählen. Regieren im digitalen Panoptikum. Leviathan. Berliner Zeitschrift für Sozialwissenschaft. Sonderheft 25: Sichtbarkeitsregime. Überwachung, Sicherheit und Privatheit im 21. Jahrhundert, ed. Leon Hempel, Susanne Krasmann and Ulrich Bröckling.","['gesis-solis-00556271', ' dzi-solit-000189864']","Angermüller, Johannes. 2010. Wissenschaft zählen. Regieren im digitalen Panoptikum. Leviathan. Berliner Zeitschrift für Sozialwissenschaft. Sonderheft 25: Sichtbarkeitsregime. Überwachung, Sicherheit und Privatheit im 21. Jahrhundert, ed. Leon Hempel, Susanne Krasmann and Ulrich Bröckling.",['Wissenschaft zählen. Regieren im digitalen Panoptikum. Leviathan. Berliner Zeitschrift für Sozialwissenschaft.'],,"['Sonderheft', 'ed.']",['Johannes.'],,,,,"['Sichtbarkeitsregime. Überwachung, Sicherheit und Privatheit im', 'Leon Hempel, Susanne Krasmann and Ulrich Bröckling.']","['Angermüller,', 'Jahrhundert,']",,"['25:', '21.']",['2010.']
one_337642,"Behrens, Martin (2005): Mitgliederrekrutierung und institutionelle Grundlagen der Gewerkschaften. Deutschland im internationalen Vergleich. In: Berliner Debatte Initial, 16(5): 30-37.","['gesis-solis-00351850', 'fes-bib-634899', ' gesis-solis-00351850']","Behrens, Martin (2005): Mitgliederrekrutierung und institutionelle Grundlagen der Gewerkschaften. Deutschland im internationalen Vergleich. In: Berliner Debatte Initial, 16(5): 30-37.",['Mitgliederrekrutierung und institutionelle Grundlagen der Gewerkschaften. Deutschland im internationalen Vergleich.'],,['In:'],['Martin'],,,['30-37.'],,"['Berliner Debatte Initial,']","['Behrens,']",,['16(5):'],['(2005):']
one_1067083,"Scherpenzeel, A., and W. E. Saris. 1997. “The Validity and Reliability of Survey Questions: a Meta Analysis of MTMM Studies.” Sociological Methods and Practice 25:341-383.","['csa-sa-9706072', ' gesis-bib-142994', ' csa-assia-88230', 'csa-assia-88230']","Scherpenzeel, A., and W. E. Saris. 1997. “The Validity and Reliability of Survey Questions: a Meta Analysis of MTMM Studies.” Sociological Methods and Practice 25:341-383.",['Validity and Reliability of Survey Questions: a Meta Analysis of MTMM Studies.”'],,['“The'],"['A.,', 'W.', 'Saris.']",,,['25:341-383.'],,['Sociological Methods and Practice'],"['Scherpenzeel,', 'and', 'E.']",,,['1997.']
one_927256,"• Ferguson, R.B. 1990. ‘Blood of the Leviathan. Western contact and warfare in Amazonia’. American Ethnologist, 17(2), pp. 237-57.",['csa-assia-9052510'],"• Ferguson, R.B. 1990. ‘Blood of the Leviathan. Western contact and warfare in Amazonia’. American Ethnologist, 17(2), pp. 237-57.",['‘Blood of the Leviathan. Western contact and warfare in Amazonia’.'],,"['•', 'pp.']",['R.B.'],,,['237-57.'],,"['American Ethnologist,']","['Ferguson,']",,"['17(2),']",['1990.']
one_103150,"Pankhurst, Donna (2003). The ‘Sex War’ and other Wars: Towards a feminist approach to Peace building, in: Development in Practice, 13(273), 154–177.","[' csa-sa-200420091', ' csa-assia-305559', ' csa-assia-221101', 'csa-ps-200418534', 'csa-sa-200420091']","Pankhurst, Donna (2003). The ‘Sex War’ and other Wars: Towards a feminist approach to Peace building, in: Development in Practice, 13(273), 154–177.","['The ‘Sex War’ and other Wars: Towards a feminist approach to Peace building,']",,['in:'],['Donna'],,,['154–177.'],,"['Development in Practice,']","['Pankhurst,']",,"['13(273),']",['(2003).']
one_752220,"McLaughlin, S.D., Melber, B.D., Billy, J.O.G., Zimmerle, D.M., Winges, L.D., Johnson, T.R. (1988). The changing lives of American women. Chapel Hill & London: The University of North Carolina Press.","[' csa-pais-1989-0209262', 'ubk-opac-LY000088401', 'csa-pais-1989-0209262', ' fis-bildung-157765']","McLaughlin, S.D., Melber, B.D., Billy, J.O.G., Zimmerle, D.M., Winges, L.D., Johnson, T.R. (1988). The changing lives of American women. Chapel Hill & London: The University of North Carolina Press.",['The changing lives of American women.'],,,"['S.D.,', 'B.D.,', 'J.O.G.,', 'D.M.,', 'L.D.,', 'T.R.']",,,,,['Chapel Hill  London: The University of North Carolina Press.'],"['McLaughlin,', 'Melber,', 'Billy,', 'Zimmerle,', 'Winges,', 'Johnson,']",,,['(1988).']
one_238335,"Bell, Daniel (1973): The Coming of Post‐industrial Society: A Venture of Social Forecasting.  New York: Basic Books ","['SocialTheory-sot-004719700', 'ubk-opac-LY000497900', ' SocialTheory-sot-004719700']","Bell, Daniel (1973): The Coming of Post‐industrial Society: A Venture of Social Forecasting.  New York: Basic Books ",['The Coming of Post‐industrial Society: A Venture of Social Forecasting.'],,,['Daniel'],,['New York:'],,['Basic Books'],,"['Bell,']",,,['(1973):']
one_734214,"Knapp, Karlfried & Annelie Knapp-Potthoff (1990): ""Interkulturelle Kommunikation"". In: Zeitschrift für Fremdsprachenforschung 1, 1990: 62 - 93.",['fis-bildung-287483'],"Knapp, Karlfried & Annelie Knapp-Potthoff (1990): ""Interkulturelle Kommunikation"". In: Zeitschrift für Fremdsprachenforschung 1, 1990: 62 - 93.","['""""Interkulturelle Kommunikation"""".']",['Annelie Knapp-Potthoff'],['In:'],['Karlfried'],,,['62 - 93.'],,"['Zeitschrift für Fremdsprachenforschung 1,']","['Knapp,']",,,"['(1990):', '1990:']"
one_444370,"Krasner, Stephen (1988). Sovereignty. An Institutional Perspective, in: Comparative Political Studies, 1, 66– 94.","['csa-ps-8803373', ' csa-assia-8851350', ' csa-ps-207885', ' gesis-bib-51688', 'csa-assia-8851350']","Krasner, Stephen (1988). Sovereignty. An Institutional Perspective, in: Comparative Political Studies, 1, 66– 94.","['Sovereignty. An Institutional Perspective,']",,['in:'],['Stephen'],,,['66– 94.'],,"['Comparative Political Studies,']","['Krasner,']",,"['1,']",['(1988).']
one_535642,"Stichnoth, U. & Wichmann, T. (2001): Reform der Rente wegen verminderter Erwerbsfähigkeit. In: Die Angestellten Versicherung 48(3), S. 53-65.","['dzi-solit-0125497', ' dza-gerolit-545102022']","Stichnoth, U. & Wichmann, T. (2001): Reform der Rente wegen verminderter Erwerbsfähigkeit. In: Die Angestellten Versicherung 48(3), S. 53-65.",['Reform der Rente wegen verminderter Erwerbsfähigkeit.'],,"['In:', 'S.']","['U.', 'T.']",,,['53-65.'],,['Die Angestellten Versicherung'],"['Stichnoth,', 'Wichmann,']",,"['48(3),']",['(2001):']
one_1031282,"Imhof, Arthur E. (1984): Die verlorenen Welten. Alltagsbewältigung durch unsere Vorfahren - und weshalb wir uns heute so schwer damit tun. (1. Aufl.) München: Beck.","[' ubk-opac-LY000884712', ' gesis-solis-00038150', 'dza-gerolit-027393542', 'gesis-solis-00038150']","Imhof, Arthur E. (1984): Die verlorenen Welten. Alltagsbewältigung durch unsere Vorfahren - und weshalb wir uns heute so schwer damit tun. (1. Aufl.) München: Beck.",['Die verlorenen Welten. Alltagsbewältigung durch unsere Vorfahren - und weshalb wir uns heute so schwer damit tun.'],,,['Arthur E.'],,['(1. Aufl.) München:'],,['Beck.'],,"['Imhof,']",,,['(1984):']
one_923637,"Krätschmer-Hahn, Rabea, 2004: Geht es den Arbeitslosen zu gut?: zur Soziologie von Deprivation und Protest. Wiesbaden: Dtsch. Univ. Verlag.",['gesis-solis-00341407'],"Krätschmer-Hahn, Rabea, 2004: Geht es den Arbeitslosen zu gut?: zur Soziologie von Deprivation und Protest. Wiesbaden: Dtsch. Univ. Verlag.",['Geht es den Arbeitslosen zu gut?: zur Soziologie von Deprivation und Protest.'],,,"['Rabea,']",,['Wiesbaden:'],,['Dtsch. Univ. Verlag.'],,"['Krätschmer-Hahn,']",,,['2004:']
one_588140,"Bender, S., A. Kohlmann and S. Lang. (2003): Women, Work, and Motherhood: Changing Employment Penalties for Motherhood in West Germany after 1945 – A Comparative Analysis of Cohorts Born in 1934- 1971, MPIDR Working Paper WP 2003-006.","['gesis-solis-00305286', ' iab-litdok-K030429F02']","Bender, S., A. Kohlmann and S. Lang. (2003): Women, Work, and Motherhood: Changing Employment Penalties for Motherhood in West Germany after 1945 – A Comparative Analysis of Cohorts Born in 1934- 1971, MPIDR Working Paper WP 2003-006.","['Women, Work, and Motherhood: Changing Employment Penalties for Motherhood in West Germany after 1945 – A Comparative Analysis of Cohorts Born in 1934- 1971,']",['S. Lang.'],['and'],"['S., A.']",,,,,['MPIDR Working Paper WP 2003-006.'],"['Bender,', 'Kohlmann']",,,['(2003):']
one_1153663,"Burgelman, R . A . : Fading Memories: A Process Theory of Strategic Business Exit in Dynamic Environments. In: Administrative Science Quarterly, vol. 39, 1994, pp. 24-56.","['csa-ps-267571', ' csa-assia-28211']","Burgelman, R . A . : Fading Memories: A Process Theory of Strategic Business Exit in Dynamic Environments. In: Administrative Science Quarterly, vol. 39, 1994, pp. 24-56.",['. : Fading Memories: A Process Theory of Strategic Business Exit in Dynamic Environments.'],,"['In:', 'vol.', 'pp.']","['R', 'A']",,,['24-56.'],,"['Administrative Science Quarterly,']","['Burgelman,', '.']",,"['39,']","['1994,']"
