ref_id;sowiport_id;ssoar_id;ref_text;original_table;sowi_IdDuplicates;bad duplicates;
337642;gesis-solis-00351850;34370.0;Behrens, Martin (2005): Mitgliederrekrutierung und institutionelle Grundlagen der Gewerkschaften. Deutschland im internationalen Vergleich. In: Berliner Debatte Initial, 16(5): 30-37.;table1;[fes-bib-634899, gesis-solis-00351850];;
1067083;csa-assia-88230;49157.0;Scherpenzeel, A., and W. E. Saris. 1997. “The Validity and Reliability of Survey Questions: a Meta Analysis of MTMM Studies.” Sociological Methods and Practice 25:341-383.;table1;[csa-sa-9706072, csa-assia-88230, gesis-bib-142994];;
927256;csa-assia-9052510;31812.0;• Ferguson, R.B. 1990. ‘Blood of the Leviathan. Western contact and warfare in Amazonia’. American Ethnologist, 17(2), pp. 237-57.;table1;null;;
103150;csa-sa-200420091;28162.0;Pankhurst, Donna (2003). The ‘Sex War’ and other Wars: Towards a feminist approach to Peace building, in: Development in Practice, 13(273), 154–177.;table1;[csa-ps-200418534, csa-assia-305559, csa-assia-221101, csa-sa-200420091];;
752220;csa-pais-1989-0209262;29311.0;McLaughlin, S.D., Melber, B.D., Billy, J.O.G., Zimmerle, D.M., Winges, L.D., Johnson, T.R. (1988). The changing lives of American women. Chapel Hill & London: The University of North Carolina Press.;table1;[ubk-opac-LY000088401, fis-bildung-157765, csa-pais-1989-0209262];;
238335;SocialTheory-sot-004719700;43640.0;Bell, Daniel (1973): The Coming of Post‐industrial Society: A Venture of Social Forecasting.  New York: Basic Books ;table1;[ubk-opac-LY000497900, SocialTheory-sot-004719700];wzb-bib-94001;
734214;fis-bildung-287483;45293.0;"Knapp, Karlfried & Annelie Knapp-Potthoff (1990): ""Interkulturelle Kommunikation"". In: Zeitschrift für Fremdsprachenforschung 1, 1990: 62 - 93.";table1;null;;
444370;csa-assia-8851350;5951.0;Krasner, Stephen (1988). Sovereignty. An Institutional Perspective, in: Comparative Political Studies, 1, 66– 94.;table1;[csa-ps-8803373, csa-ps-207885, csa-assia-8851350, gesis-bib-51688];;
535642;dzi-solit-0125497;26519.0;Stichnoth, U. & Wichmann, T. (2001): Reform der Rente wegen verminderter Erwerbsfähigkeit. In: Die Angestellten Versicherung 48(3), S. 53-65.;table1;[dzi-solit-0125497, dza-gerolit-545102022];;
1031282;gesis-solis-00038150;42217.0;Imhof, Arthur E. (1984): Die verlorenen Welten. Alltagsbewältigung durch unsere Vorfahren - und weshalb wir uns heute so schwer damit tun. (1. Aufl.) München: Beck.;table1;[dza-gerolit-027393542, ubk-opac-LY000884712, gesis-solis-00038150];;
923637;gesis-solis-00341407;4452.0;Krätschmer-Hahn, Rabea, 2004: Geht es den Arbeitslosen zu gut?: zur Soziologie von Deprivation und Protest. Wiesbaden: Dtsch. Univ. Verlag.;table1;null;;
588140;gesis-solis-00305286;31798.0;Bender, S., A. Kohlmann and S. Lang. (2003): Women, Work, and Motherhood: Changing Employment Penalties for Motherhood in West Germany after 1945 – A Comparative Analysis of Cohorts Born in 1934- 1971, MPIDR Working Paper WP 2003-006.;table1;[gesis-solis-00305286, iab-litdok-K030429F02];;
1153663;csa-ps-267571;6756.0;Burgelman, R . A . : Fading Memories: A Process Theory of Strategic Business Exit in Dynamic Environments. In: Administrative Science Quarterly, vol. 39, 1994, pp. 24-56.;table1;[csa-ps-267571, csa-assia-28211];;
1021050;gesis-solis-00028614;31881.0;Friedrichs, J. (1977): Stadtanalyse. Soziale und räumliche Organisation der Gesellschaft. Reinbek.;table1;[gesis-solis-00028614, gesis-bib-99089, fes-bib-110723, ubk-opac-LY000756340];;
688326;not_match;3055.0;Engels, Friedrich (1970). Die Lage der arbeitenden Klasse in England. Nach eigener Anschauung und authentischen Quellen. In Marx-Engels-Werke, Bd.2. Berlin (DDR): Dietz (Original 1845).;table1;null;;
736518;fis-bildung-446043;13440.0;Gott, R., & Duggan, S. (1996). Practical work: its role in the understanding of evidence in F science. Intoernational Journal of Science Education, 18(7), 791-806.;table1;null;;
716666;gesis-solis-00255585;12578.0;"Enders-Dragässer, Uta/Sellach, Brigitte: Der ""Lebenslagen-Ansatz"" aus der Perspektive der Frauenforschung. In: Zeitschrift für Frauenforschung. 13. Jg. Heft 4/99. 56-66";table1;[iab-litdok-K000120D04, gesis-solis-00255585, dzi-solit-0117791];;
1106245;gesis-solis-00334882;25103.0;Lengerer, Andrea, Tobias Hubert und Nicole Kollinger, 2005: Vergleich der Mikrozensus Scientific Use Files 2001 und 2002. ZUMA-Methodenbericht 2005/02.;table1;[gesis-ssoar-48490, gesis-solis-00334882];;
889813;wzb-bib-129439;6587.0;Himanen, P. (2001): The hacker ethic and the spirit of the information age. New York: Random House.;table1;null;;
490441;csa-sa-200406149;26329.0;Coglianese, Cary and David Lazer. 2003. Management-based regulation. Prescribing private management to achieve public goals. Law and Society Review 37: 691-730.;table1;[csa-assia-280728, csa-ps-200406826, csa-sa-200406149];;
367156;csa-sa-200605239;27380.0;Wilkie, R. (2005) ‘Sentient commodities and productive paradoxes: the ambiguous nature of human–livestock relations in Northeast Scotland’, Journal of Rural Studies 21: 213–230.;table1;null;;
11554;gesis-solis-00246289;27017.0;Jureit, Ulrike (1998): Flucht und Ergreifung. Übertragung und Gegenübertragung in einem lebensgeschichtlichen Interview, in: BIOS 1998 (11. Jg.), 229-241.;table1;null;;
907826;gesis-solis-00172575;35117.0;Scharpf, F.W. (1993): Autonomieschonend und gemeinschaftsverträglich: Zur Logik der europäischen Mehrebenenpolitik. MPIFG discussion paper 93/9. Köln.;table1;[gesis-solis-00172575, ubk-opac-LY000171443];;
262532;gesis-smarth-0000008720;1235.0;Barben, D. (2007). Politische Ökonomie der Biotechnologie. Innovation und gesellschaftlicher Wandel im internationalen Vergleich. Frankfurt/M., Campus.;table1;[wzb-bib-181451, gesis-smarth-0000008720, gesis-solis-00396004];;
9938;ubk-opac-HL000760137;28923.0;Namer, Gérard (1987). Mémoire et société. Paris: Méridiens Klincksieck.;table1;null;;
116095;csa-sa-200203934;35337.0;Easterly, W. (2001): Can Institutions Resolve Ethnic Conflict? In: Eco - nomic Development and Cultural Change 49 (4), 687-706.;table1;[csa-assia-185495, csa-sa-200203934, csa-ps-200204759];;
538233;fis-bildung-190953;38383.0;Selvini Palazzoli, Mara, L. Anolli, P. Di Blasio, L. Giossi, J. Pisano, C. Ricci, C., et al. 1984. Hinter den Kulissen der Organisation. Stuttgart: Klett-Cotta.;table1;[fis-bildung-190953, ubk-opac-LY000757668, gesis-solis-00032851];;
206764;gesis-solis-00337440;29422.0;Blien, U., Hirschenauer, F., Arendt, M., Braun, H.-J., Gunst, D.-M., Kilcioglu, S., Kleinschmidt, H., Musati, M., Roß, H., Vollkommer, D., Wein, J. (2004), Typisierung von Bezirken der Agenturen für Arbeit, Zeitschrift für Arbeitsmarktforschung 37, 146-175.;table1;[gesis-bib-59349, dzi-solit-0150456, gesis-solis-00337440, iab-litdok-K040923N03, fis-bildung-663458];;
575226;ubk-opac-HL001542763;35648.0;Rancke, F. (1982): Betriebsverfassung und Unternehmenswirklichkeit. Eine Analyse von Organisation und Formen der betrieblichen Arbeitnehmermitbestimmung in der Praxis von Großunternehmen und Konzernen. Opladen.;table1;[fes-bib-637839, ubk-opac-HL001542763];;
1091011;csa-assia-8860970;37869.0;Coleman, J. S. 1988. Social capital in the creation of human capital. American Journal of Sociology 94: 95-121.;table1;[csa-sa-88T9212, csa-assia-8860970, gesis-bib-32128, csa-ps-2180];;
726469;csa-sa-88c00961;40908.0;Tannenbaum, R., Margulies, N., Massarik, F. et al. (1985). Human Systems Development. San Francisco.;table1;null;;
1017789;csa-sa-200523724;5793.0;Kreyenfeld, M. (2002). Time squeeze, partner effect or self-selection? An investigation into the positive effect of women’s education on second birth risks in West Germany. Demographic Research, 7, Article 2.;table1;[gesis-solis-00296852, csa-sa-200523724];;
933526;csa-sa-200518809;35341.0;Meyer, Birgit 2004: Christianity in Africa: From African Independent to PentecostalCharismatic Churches, in: Annual Review of Anthropology, Vol. 33, pp. 447-474;table1;null;;
31408;gesis-bib-96429;51936.0;Buss, Eugen (1999). Das emotionale Profil der Deutschen. Bestandsaufnahme und Konsequenzen für;table1;[gesis-bib-96429, gesis-solis-00258930];;
561093;wzb-bib-121685;11506.0;Scott, M.C. (1998): The Intellect Industry. Profiting and Learning from Professional Service Firms. Chichester, New York/Weinheim/Brisbane/Singapur/Toronto: John Wiley & Sons.;table1;null;;
624526;csa-sa-9713541;32434.0;Hartmann, M. (1997a): Die Rekrutierung von Topmanagern in Europa. Nationale Bildungssysteme und die Reproduktion der Eliten in Deutschland, Frankreich und Großbritannien. In: Archives Européennes de Sociologie, 38, 3-37.;table1;[fis-bildung-466207, gesis-solis-00231323, csa-sa-9713541, bszbw-wao-103286578];;
738005;fis-bildung-296420;3214.0;B O O C K M A N N , H., Der Alltag eines spätmittelalterlichen Herrschers, in: G W U 45 (1994), S. 6 6 7 - 6 7 9 .;table1;null;;
861880;ubk-opac-HL003255293;44008.0;Taylor, Peter J. 2004: World City Network – A global urban Analysis, New York.;table1;null;;
1011745;iab-litdok-I780424F29;28447.0;David, C.-H. (1976): Entwicklungen und Tendenzen in der Planungs- und Verwaltungsorganisation der großen Verdichtungsräume. Essen.;table1;[iab-litdok-I780424F29, csa-pais-1976-1055637];;
949439;fis-bildung-516046;26854.0;"Negt, Oskar: Lernen in einer Welt gesellschaftlicher Umbrüche; in: Dieckmann, H.; Schachtsiek, B. (Hrsg.): Lernkonzepte im Wandel. Klett-Cotta, Stuttgart, 1998.";table1;[gesis-solis-00260568, fis-bildung-516046];;
415817;csa-sa-200730562;33654.0;"Chen M., Xu Ch., Wang R., ""Key natural impacting factors of China’s human population distribution"", Population and Environment, vol. 28, no. 3, 2007, pp. 187-200.";table1;null;;
241213;gesis-solis-00391501;32046.0;Corsten, M., Kauppert, M. & Rosa, H. (2008). Quellen bürgerschaftlichen Engagements: Die biographische Entwicklung von Wir-Sinn und fokussierten Motiven. Wiesbaden: VS Verlag;table1;[gesis-solis-00391501, dzi-solit-0169340, ubk-opac-HL006244103, dza-gerolit-534444814, fis-bildung-818984];;
420889;csa-pais-2011-370815;44988.0;Beisheim, Marianne/Lode, Birgit/Simon, Nils (2012) Rio+20 Realpolitik and its Implications for “The Future We Want”, SWP Comments, 2012/C 25, Berlin.;table1;[csa-pais-2011-370815, bszbw-wao-407201580];;
348141;csa-sa-9509318;19549.0;Andersen, R. (1995). Revisiting the Behavioral-Model and Access to Medical-Care - Does It Matter. Journal of Health and Social Behavior 36(1): 1-10.;table1;[csa-sa-9509318, csa-assia-73986];;
847313;fis-bildung-689552;13434.0;Osborne, J. F., Simorn,S., & Collins, S. (2003). Attitudes towards Science: A Review of the P Literature and its Implications. International Journal of Science Education, 25(9), e 1049–1079. e r;table1;null;;
550884;bszbw-wao-055940706;33903.0;Bachmann-Medick, D. (1997) (Hg.): Übersetzung als Repräsentation fremder Kulturen. Berlin: E. Schmidt.;table1;null;;
200458;csa-assia-214250;29391.0;Ericsson, K. A., 2002. Toward a procedure for eliciting verbal expression of nonverbal experience without reactivity: Interpreting the verbal overshadowing effect within the theoretical framework for protocol analysis. Applied Cognitive Psychology 16, 981-987.;table1;null;;
621773;csa-ps-200315352;22887.0;Laver, Michael, Kenneth Benoit and John Garry (2003) ‘Extracting Policy Positions from Political Texts Using Words as Data’, American Political Science Review 97(2): 83–112.;table1;[csa-ps-200315352, gesis-bib-56633];;
199168;csa-assia-143541;20514.0;"Barnard, J./Meng, X.L. (1999): Applications of multiple imputation in medical studies: from AIDS to NHANES; in: Statistical Methods in Medical Research, 8, 17-36.";table1;null;;
1109230;csa-sa-87R1207;49125.0;"Esser, H. (1986), Können Befragte lügen? Zum Konzept des ""wahren Wertes"" im Rahmen der handlungstheoretischen Erklärung von Situationseinflüssen bei der Befragung. Kölner Zeitschrift für Soziologie und Sozialpsychologie 38: 314-336.";table1;[iab-litdok-I861125D12, gesis-bib-23795, fis-bildung-56719, gesis-ssoar-6635, gesis-solis-00124071, gesis-bib-35899, csa-sa-87R1207, gesis-solis-00069116];;
390283;csa-pais-2003-0502810;43551.0;Kurtenbach, Sabine (Hg.) (2001): Kolumbien zwischen Gewalteskalation und Friedenssuche Möglichkeiten und Grenzen der Einflussnahme externer Akteure, Frankfurt/Main.;table1;[bszbw-wao-095936092, csa-pais-2003-0502810, gesis-solis-00292542];;
562335;bszbw-wao-388185058;5978.0;Grande, Edgar/Anke Peschke (1999). Transnational cooperation and policy networks in European science policy-making, in: Research Policy, 28 (1), 43–61.;table1;null;;
927687;csa-sa-83c00240;31812.0;• Paige, K.E. and Paige, J.M. 1981. The Politics of Reproductive Ritual. Berkeley, Los Angeles and London: University of California Press.;table1;[ubk-opac-HL003998369, csa-sa-83c00240];;
896878;csa-ps-315595;46378.0;Scruggs, Lyle A. (1999): Institutions and Environmental Performance in Seventeen Western Democracies. In: British Journal of Political Science 28 (01), S. 1–31.;table1;[csa-ps-315595, bszbw-wao-388176008];;
10788;csa-sa-9713272;11816.0;Scharpf, Fritz (1997): “Economic Integration, Democracy and the Welfare State”, Journal of European Public Policy, Vol. 4, No. 1, pp. 18-36.;table1;[csa-sa-9713272, csa-assia-85625, csa-ps-199900858];;
1083556;gesis-solis-00151722;6796.0;"Bieber, D.: Systemische Rationalisierung und Produktionsnetzwerke. In: Th. Malsch; U . Mill (Hrsg.): ArBYTE - Modernisierung der Industriesoziologie? Berlin 1992, S. 271-293.";table1;null;;book: gesis-solis-00151709, iab-litdok-I921020F13, ubk-opac-LY000146764
1153056;csa-sa-92Y5642;11606.0;Huber, G. P. (1991). „Organizational Learning: The Contributing Processes and the Literatures.“ In: Organization Science, 2/1, pp. 88-115.;table1;null;;
37749;gesis-bib-108753;35532.0;Gille, Martina (2006): Jugendliche und junge Erwachsene in Deutschland. Lebensverhältnisse, Werte und gesellschaftliche Beteiligung 12- bis 29-Jähriger. 1. Aufl. Wiesbaden.;table1;[gesis-bib-108753, wzb-bib-145954, ubk-opac-HL005571172, gesis-solis-00370971, iab-litdok-K061005F07, fis-bildung-759513];;
838368;not_match;34921.0;Rheinberg, F. (2006a): Motivation, 6. Auflage, Stuttgart: Kohlhammer.;table1;null;fis-bildung-981215;
604405;gesis-solis-00334235;24417.0;"Krimmer, Holger; Annette Zimmer (2004). Karrierewege von Professorinnen an Hochschulen in Deutschland. In: Zeitschrift für Frauenforschung und Geschlechterstudien, Heft 4; Jg.21. Bielefeld: Kleine-Verlag.";table1;[iab-litdok-K040521A03, fis-bildung-676395, gesis-solis-00334235];;
1137362;ubk-opac-LY000798474;50710.0;Hennis, W., 1957: Meinungsforschung und Repräsentative Demokratie. Tübingen: Mohr/Siebeck.;table1;[ubk-opac-LY000798474, gesis-bib-106096];;
1104370;csa-sa-200211475;27162.0;Vermeersch, P. (2002), ‘Ethnic mobilisation and the political conditionality of European Union accession: the case of the Roma in Slovakia’, Journal of Ethnic and Migration Studies 28 (1): 83-101.;table1;[csa-ps-200211492, csa-assia-192335, csa-sa-200211475];;
924787;not_match;37411.0;Larsen, John et al. ( ) Mobilities, Networks, Geographies. Hampshire.;table1;null;ubk-opac-HL005582889;
281055;csa-pais-2005-0504220;26044.0;Gomez Mera, Laura (2005). 'Explaining Mercosur's Survival: Strategic Sources of Argentine-Brazilian Convergence', Journal of Latin American Studies 37(1): 109-40.;table1;[csa-ps-200519065, csa-pais-2005-0504220, bszbw-wao-284498793];;
1151511;fis-bildung-516745;34110.0;Rüdenauer, Manfred R.A., 1998: Ganzheitliches Bildungsmanagement steigert den Weiterbildungserfolg. In: Personal. Heft 7/1998. S. 340-344.;table1;null;;
1023662;fis-bildung-463442;39971.0;Ernst, A.M. (1998). Psychologie des Umweltverhaltens. Spektrum der Wissenschafi, (4), 70-75.;table1;null;;
441675;fes-bib-195779;36789.0;Bergmann, Frithjof (1997), Die neue Arbeit, in: Gewerkschaftliche Monatshefte, (9/10), S. 524-534.;table1;[fes-bib-604975, iab-litdok-I971015D13, gesis-solis-00238782, bszbw-wao-104913215, fes-bib-195779];;
525228;csa-ps-222159;27118.0;Elson, D. (1989), ‘How is structural adjustment affecting women’, Development, 1, 67–74.;table1;[csa-ps-222159, csa-ssa-199000690];;
836931;csa-ps-214511;27157.0;Duara, Prasenjit (1988), ‘Superscribing Symbols: The Myth of Guandi, Chinese God of War’. The Journal of Asian Studies, 47 (4) 778-795.;table1;[proquest-pao-NLZ011940905, csa-ps-214511];;
78871;fis-bildung-25738;3726.0;Hoffmann-Riem, C. (1980). Die Sozialforschung einer interpretativen Soziologie. Der Datengewinn. Kölner Zeitschrift für Soziologie und Sozialpsychologie 32:339-372;table1;[csa-sa-82L9675, gesis-solis-00003558, fis-bildung-25738];;
481432;csa-ps-200716289;36966.0;Bannink, D., Hoogenboom, M. (2007). Hidden Change: Disaggregation of Welfare Regimes for Greater Insight into Welfare State Change, Journal of European Social Policy 17(1): 19-32.;table1;[csa-ssa-200704005, csa-sa-200719767, bszbw-wao-387450173, iab-litdok-K070227806, csa-ps-200716289];;
783094;gesis-bib-89680;37777.0;Becker, Howard S. [1963] 1997. Outsiders: Studies in the Sociology of Deviance. Free Press.;table1;[SocialTheory-sot-00471928X, gesis-bib-89680, ubk-opac-LY000491986];ubk-opac-HL001055841;other edition
565077;ubk-opac-LN002687376;50747.0;Coleman, J.S., Katz, E., Menzel, H. (1966): Medical Innovation: A Diffusion Study. Bobbs Merrill, New York, 1966;table1;[ubk-opac-LN002687376, gesis-bib-98454, gesis-bib-98459];;
165822;ubk-opac-LY000377023;16497.0;Rousseau, Denise (1995): Psychological contracts in organizations. Understanding written and unwritten agreements. Thousand Oaks u.a.: Sage.;table1;null;;
860224;csa-ps-200421925;50347.0;Harvey, David. 2003. The New Imperialism. Oxford: Oxford University Press.;table1;[csa-ps-200421925, bszbw-wao-106854437];;
919597;csa-sa-200705567;49390.0;Schwartz, S. H. (2006). A theory of cultural value orientations: Explication and applications. Comparative Sociology 5(2-3), 137-182.;table1;[csa-sa-200705567, csa-assia-200705548];;
43733;fis-bildung-173422;50011.0;Beck, Ulrich (1986): Risikogesellschaft. Auf dem Weg in eine andere Moderne. Frankfurt/Main: Suhrkamp.;table1;[dza-gerolit-027403505, fes-bib-688006, fes-bib-699344, gesis-solis-00078035, iab-litdok-I870115F67, ubk-opac-LY000527674, gesis-bib-6484, gesis-bib-90377, fis-bildung-173422, wzb-bib-77283];;
79435;gesis-solis-00057876;3726.0;Nadig, M. (1985). Ethnopsychoanalyse und Feminismus, Grenzen und Möglichkeiten. Feministische Studien 2:106-107;table1;null;;
683540;ubk-opac-LY000050957;27387.0;Garland, David. 1990. Punishment and Modern Society: A Study in Social Theory. Oxford, UK: Clarendon.;table1;null;;
230128;iab-litdok-K100827R03;42300.0;"Gürtzgen, Nicole; Heinze, Anja (2010): Should Low-Wage Workers Care about where they Work? Assessing the Impact of Employer Characteristics on Low-wage Mobility, ZEW Discussion Paper No. 10-054, Mannheim.";table1;null;;
1080197;gesis-solis-00035568;3738.0;Feger, H. & Droge, U. (1984). Repräsentation von Ordinaldaten durch Graphen. Ordinale Netzwerkskaliemng. Kölner Zeitschrift für Soziologie und Sozialpsychologie 36:494ff.;table1;[gesis-solis-00035568, gesis-bib-35965, csa-sa-85O9273];;
789707;gesis-solis-00108626;3727.0;Beste, H. (1983). Innere Sicherheit und Sozialforschung. Lit., Münster;table1;[ubk-opac-HL003753291, gesis-solis-00108626];;
